Designator,Value,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0603_1608Metric,149.265008,-111.973992,45,bottom
C2,0.1uF,C_0603_1608Metric,137.246992,-111.719992,135,bottom
C3,0.1uF,C_0603_1608Metric,140.856,-116.713,180,bottom
C4,0.1uF,C_0603_1608Metric,138.43,-107.302,90,bottom
C5,0.1uF,C_0603_1608Metric,145.074008,-104.942008,135,bottom
C6,10uF,C_0603_1608Metric,142.580992,-104.180008,45,bottom
C7,22pF,C_0603_1608Metric,151.272408,-100.157012,90,bottom
C8,22pF,C_0603_1608Metric,145.049408,-100.258013,270,bottom
C9,1uF,C_0603_1608Metric,141.478,-103.251,45,bottom
C10,4.7uF,C_0603_1608Metric,146.558,-80.785,90,bottom
D1,BAV70,SOT-23,149.418,-82.804,270,bottom
D2,BAV70,SOT-23,180.914,-82.804,270,bottom
D3,BAV70,SOT-23,219.014,-82.82,270,bottom
D4,BAV70,SOT-23,257.241,-82.82,270,bottom
D5,BAV70,SOT-23,295.275,-82.804,270,bottom
D6,BAV70,SOT-23,334.838,-82.82,270,bottom
D7,D_Small,D_SOD-123,357.632,-82.805,270,bottom
D8,BAV70,SOT-23,154.752,-101.362,270,bottom
D9,BAV70,SOT-23,185.801,-101.87,270,bottom
D10,BAV70,SOT-23,223.901,-101.854,270,bottom
D11,BAV70,SOT-23,261.874,-101.854,270,bottom
D12,BAV70,SOT-23,300.83125,-101.80625,270,bottom
D13,BAV70,SOT-23,338.14,-101.87,270,bottom
D14,PRTR5V0U2X,SOT-143,140.759,-90.424,180,bottom
D15,BAV70,SOT-23,142.687,-120.92,270,bottom
D16,BAV70,SOT-23,176.337,-120.92,270,bottom
D17,BAV70,SOT-23,214.376,-120.904,270,bottom
D18,BAV70,SOT-23,252.415,-120.92,270,bottom
D19,BAV70,SOT-23,290.515,-120.92,270,bottom
D20,BAV70,SOT-23,328.615,-120.92,270,bottom
D21,D_Small,D_SOD-123,354.711,-120.268,270,bottom
D22,BAV70,SOT-23,138.115,-139.97,270,bottom
D23,BAV70,SOT-23,180.147,-139.97,270,bottom
D24,BAV70,SOT-23,239.903,-139.938,270,bottom
D25,BAV70,SOT-23,315.275,-139.97,270,bottom
D26,BAV70,SOT-23,359.984,-139.97,270,bottom
F1,Polyfuse_Small,Fuse_1206_3216Metric,144.018,-95.120001,90,bottom
R1,10k,R_0603_1608Metric,146.101637,-103.937637,135,bottom
R2,22,R_0603_1608Metric,139.446,-95.44,90,bottom
R3,22,R_0603_1608Metric,141.478,-95.441,90,bottom
R4,10k,R_0603_1608Metric,144.220363,-116.891637,45,bottom
R5,5.1k,R_0603_1608Metric,136.398,-87.947,90,bottom
R6,5.1k,R_0603_1608Metric,145.161,-87.947,90,bottom
R7,1M,R_0603_1608Metric,148.082,-80.772,90,bottom
U2,ATmega32U4-MU,QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm,143.383,-110.774239,45,bottom
USB1,HRO-TYPE-C-31-M-12,HRO-TYPE-C-31-M-12-Assembly,140.753,-77.776,0,bottom
Y1,Crystal_GND24_Small,Crystal_SMD_3225-4Pin_3.2x2.5mm,148.181408,-100.232013,180,bottom
